name,license_type,county,city,zip
COSTCO PHARMACY #462 ,License Type: Pharmacy (Community),CARLSBAD, SAN DIEGO, 92011
COSTCO PHARMACY #627 ,License Type: Pharmacy (Community),FONTANA, SAN BERNARDINO, 92336
COSTCO PHARMACY #775 ,License Type: Pharmacy (Community),POWAY, SAN DIEGO, 92064
COSTCO PHARMACY #781 ,License Type: Pharmacy (Community),CHULA VISTA, SAN DIEGO, 91911
COSTCO PHARMACY 403 ,License Type: Pharmacy (Community),SANTEE, SAN DIEGO, 92071
COSTCO PHARMACY 460 ,License Type: Pharmacy (Community),CHULA VISTA, SAN DIEGO, 91910
COSTCO PHARMACY 469 ,License Type: Pharmacy (Community),LA MESA, SAN DIEGO, 91942
COSTCO PHARMACY 473 ,License Type: Pharmacy (Community),CHINO HILLS, SAN BERNARDINO, 91709
COSTCO PHARMACY NO 478 ,License Type: Pharmacy (Community),SAN BERNARDINO, SAN BERNARDINO, 92408
COSTCO PHARMACY NO 678 ,License Type: Pharmacy (Community),RANCHO CUCAMONGA, SAN BERNARDINO, 91730
COSTCO PHARMACY NO 686 ,License Type: Pharmacy (Community),MONTCLAIR, SAN BERNARDINO, 91763
COSTCO WHOLESALE PHARMACY NO 483 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92102
COSTCO WHOLESALE PHARMACY NO 488 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92108
CRESCENT HEALTHCARE ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92128
CROALS REXALL DRUGS ,License Type: Pharmacy (Community),BARSTOW, SAN BERNARDINO, 92311
CROWN PLAZA PHARMACY ,License Type: Pharmacy (Community),MONTCLAIR, SAN BERNARDINO, 91763
CSU SAN MARCOS SHCS PHARMACY ,License Type: Pharmacy (Government Owned Community),SAN MARCOS, SAN DIEGO, 92096
CUCAMONGA COMMUNITY PHARMACY ,License Type: Pharmacy (Community),RANCHO CUCAMONGA, SAN BERNARDINO, 91730
CUCAMONGA PHARMACY ,License Type: Pharmacy (Community),RANCHO CUCAMONGA, SAN BERNARDINO, 91730
CURE STAT RX ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92121
CURT'S PHARMACY ,License Type: Pharmacy (Community),VICTORVILLE, SAN BERNARDINO, 92395
CVS PHARMACY #10919 ,License Type: Pharmacy (Community),SPRING VALLEY, SAN DIEGO, 91977
CVS PHARMACY #4148 ,License Type: Pharmacy (Community),VICTORVILLE, SAN BERNARDINO, 92392
CVS PHARMACY #8523 ,License Type: Pharmacy (Community),RIALTO, SAN BERNARDINO, 92376
CVS PHARMACY #8818 ,License Type: Pharmacy (Community),SAN MARCOS, SAN DIEGO, 92069
CVS PHARMACY #8825 ,License Type: Pharmacy (Community),GRAND TERRACE, SAN BERNARDINO, 92313
CVS PHARMACY #8833 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92123
CVS PHARMACY #8836 ,License Type: Pharmacy (Community),VISTA, SAN DIEGO, 92081
CVS PHARMACY #8842 ,License Type: Pharmacy (Community),EL CAJON, SAN DIEGO, 92020
CVS PHARMACY #8857 ,License Type: Pharmacy (Community),VISTA, SAN DIEGO, 92804
CVS PHARMACY #8859 ,License Type: Pharmacy (Community),CHULA VISTA, SAN DIEGO, 91910
CVS PHARMACY #8866 ,License Type: Pharmacy (Community),OCEANSIDE, SAN DIEGO, 92054
CVS PHARMACY #8894 ,License Type: Pharmacy (Community),REDLANDS, SAN BERNARDINO, 92373
CVS PHARMACY #9102 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92131
CVS PHARMACY #9103 ,License Type: Pharmacy (Community),ESCONDIDO, SAN DIEGO, 92026
CVS PHARMACY #9104 ,License Type: Pharmacy (Community),ESCONDIDO, SAN DIEGO, 92027
CVS PHARMACY #9105 ,License Type: Pharmacy (Community),POWAY, SAN DIEGO, 92064
CVS PHARMACY #9108 ,License Type: Pharmacy (Community),ESCONDIDO, SAN DIEGO, 92025
CVS PHARMACY #9109 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92115
CVS PHARMACY #9110 ,License Type: Pharmacy (Community),FALLBROOK, SAN DIEGO, 92028
CVS PHARMACY #9111 ,License Type: Pharmacy (Community),RANCHO BERNARDO, SAN DIEGO, 92128
CVS PHARMACY #9112 ,License Type: Pharmacy (Community),LEMON GROVE, SAN DIEGO, 91945
CVS PHARMACY #9113 ,License Type: Pharmacy (Community),CHULA VISTA, SAN DIEGO, 91911
CVS PHARMACY #9114 ,License Type: Pharmacy (Community),EL CAJON, SAN DIEGO, 92021
CVS PHARMACY #9115 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92154
CVS PHARMACY #9120 ,License Type: Pharmacy (Community),IMPERIAL BEACH, SAN DIEGO, 91932
CVS PHARMACY #9121 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92115
CVS PHARMACY #9131 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92127
CVS PHARMACY #9137 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92119
CVS PHARMACY #9138 ,License Type: Pharmacy (Community),NATIONAL CITY, SAN DIEGO, 91950
CVS PHARMACY #9140 ,License Type: Pharmacy (Community),CHULA VISTA, SAN DIEGO, 91910
CVS PHARMACY #9141 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92104
CVS PHARMACY #9145 ,License Type: Pharmacy (Community),Probation Terminated/Completed, SAN DIEGO, 92071
CVS PHARMACY #9148 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92103
CVS PHARMACY #9165 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92110
CVS PHARMACY #9166 ,License Type: Pharmacy (Community),SAN MARCOS, SAN DIEGO, 92078
CVS PHARMACY #9173 ,License Type: Pharmacy (Community),EL CAJON, SAN DIEGO, 92020
CVS PHARMACY #9175 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92117
CVS PHARMACY #9177 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92126
CVS PHARMACY #9181 ,License Type: Pharmacy (Community),ENCINITAS, SAN DIEGO, 92024
CVS PHARMACY #9187 ,License Type: Pharmacy (Community),SOLANA BEACH, SAN DIEGO, 92075
CVS PHARMACY #9192 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92128
CVS PHARMACY #9193 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92113
CVS PHARMACY #9194 ,License Type: Pharmacy (Community),RAMONA, SAN DIEGO, 92065
CVS PHARMACY #9195 ,License Type: Pharmacy (Community),LA JOLLA, SAN DIEGO, 92037
CVS PHARMACY #9196 ,License Type: Pharmacy (Community),CHULA VISTA, SAN DIEGO, 91911
CVS PHARMACY #9197 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92129
CVS PHARMACY #9479 ,License Type: Pharmacy (Community),CARLSBAD, SAN DIEGO, 92008
CVS PHARMACY #9524 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92154
CVS PHARMACY #9528 ,License Type: Pharmacy (Community),CARLSBAD, SAN DIEGO, 92009
CVS PHARMACY #9532 ,License Type: Pharmacy (Community),OCEANSIDE, SAN DIEGO, 92057
CVS PHARMACY #9549 ,License Type: Pharmacy (Community),OCEANSIDE, SAN DIEGO, 92056
CVS PHARMACY #9574 ,License Type: Pharmacy (Community),VISTA, SAN DIEGO, 92083
CVS PHARMACY #9585 ,License Type: Pharmacy (Community),OCEANSIDE, SAN DIEGO, 92058
CVS PHARMACY #9619 ,License Type: Pharmacy (Community),FONTANA, SAN BERNARDINO, 92335
CVS PHARMACY #9644 ,License Type: Pharmacy (Community),HESPERIA, SAN BERNARDINO, 92345
CVS PHARMACY #9649 ,License Type: Pharmacy (Community),YUCAIPA, SAN BERNARDINO, 92399
CVS PHARMACY #9650 ,License Type: Pharmacy (Community),VICTORVILLE, SAN BERNARDINO, 92392
CVS PHARMACY #9664 ,License Type: Pharmacy (Community),SAN BERNARDINO, SAN BERNARDINO, 92411
CVS PHARMACY #9698 ,License Type: Pharmacy (Community),UPLAND, SAN BERNARDINO, 91786
CVS PHARMACY #9705 ,License Type: Pharmacy (Community),CHINO HILLS, SAN BERNARDINO, 91709
CVS PHARMACY #9723 ,License Type: Pharmacy (Community),RANCHO CUCAMONGA, SAN BERNARDINO, 91701
CVS PHARMACY #9724 ,License Type: Pharmacy (Community),RANCHO CUCAMONGA, SAN BERNARDINO, 91730
CVS PHARMACY #9727 ,License Type: Pharmacy (Community),ONTARIO, SAN BERNARDINO, 91761
CVS PHARMACY #9729 ,License Type: Pharmacy (Community),ONTARIO, SAN BERNARDINO, 91762
CVS PHARMACY #9739 ,License Type: Pharmacy (Community),BIG BEAR LAKE, SAN BERNARDINO, 92315
CVS PHARMACY #9745 ,License Type: Pharmacy (Community),MONTCLAIR, SAN BERNARDINO, 91763
CVS PHARMACY #9778 ,License Type: Pharmacy (Community),CHINO, SAN BERNARDINO, 91710
CVS PHARMACY #9792 ,License Type: Pharmacy (Community),UPLAND, SAN BERNARDINO, 91786
CVS PHARMACY #9794 ,License Type: Pharmacy (Community),SAN BERNARDINO, SAN BERNARDINO, 92407
CVS PHY #8589 ,License Type: Pharmacy (Community),FONTANA, SAN BERNARDINO, 92336
CVS/PHARMACY # 16042 ,License Type: Pharmacy (Community),SAN BERNARDINO, SAN BERNARDINO, 92408
CVS/PHARMACY # 16051 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92110
CVS/PHARMACY # 16052 ,License Type: Pharmacy (Community),CHULA VISTA, SAN DIEGO, 91911
CVS/PHARMACY # 16076 ,License Type: Pharmacy (Community),CHINO, SAN BERNARDINO, 91710
CVS/PHARMACY # 16083 ,License Type: Pharmacy (Community),ESCONDIDO, SAN DIEGO, 92029
CVS/PHARMACY # 16099 ,License Type: Pharmacy (Community),RANCHO CUCAMONGA, SAN BERNARDINO, 91730
CVS/PHARMACY # 16101 ,License Type: Pharmacy (Community),OCEANSIDE, SAN DIEGO, 92054
CVS/PHARMACY # 16102 ,License Type: Pharmacy (Community),EL CAJON, SAN DIEGO, 92021
CVS/PHARMACY # 16103 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92126
CVS/PHARMACY # 16187 ,License Type: Pharmacy (Community),FONTANA, SAN BERNARDINO, 92337
CVS/PHARMACY # 16338 ,License Type: Pharmacy (Community),CHINO, SAN BERNARDINO, 91710
CVS/PHARMACY # 16358 ,License Type: Pharmacy (Community),APPLE VALLEY, SAN BERNARDINO, 92308
CVS/PHARMACY # 16416 ,License Type: Pharmacy (Community),ENCINITAS, SAN DIEGO, 92024
CVS/PHARMACY # 16425 ,License Type: Pharmacy (Community),VISTA, SAN DIEGO, 92083
CVS/PHARMACY # 16504 ,License Type: Pharmacy (Community),EL CAJON, SAN DIEGO, 92019
CVS/PHARMACY # 16749 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92108
CVS/PHARMACY # 16760 ,License Type: Pharmacy (Community),MONTCLAIR, SAN BERNARDINO, 91763
CVS/PHARMACY # 16817 ,License Type: Pharmacy (Community),SANTEE, SAN DIEGO, 92071
CVS/PHARMACY # 16955 ,License Type: Pharmacy (Community),UPLAND, SAN BERNARDINO, 91784
CVS/PHARMACY # 16989 ,License Type: Pharmacy (Community),REDLANDS, SAN BERNARDINO, 92374
CVS/PHARMACY # 17074 ,License Type: Pharmacy (Community),FONTANA, SAN BERNARDINO, 92336
CVS/PHARMACY # 17245 ,License Type: Pharmacy (Community),VISTA, SAN DIEGO, 92081
CVS/PHARMACY # 17320 ,License Type: Pharmacy (Community),ONTARIO, SAN BERNARDINO, 91764
CVS/PHARMACY # 17334 ,License Type: Pharmacy (Community),APPLE VALLEY, SAN BERNARDINO, 92307
CVS/PHARMACY # 17517 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92111
CVS/PHARMACY # 17519 ,License Type: Pharmacy (Community),HESPERIA, SAN BERNARDINO, 92345
CVS/PHARMACY # 17644 ,License Type: Pharmacy (Community),ESCONDIDO, SAN DIEGO, 92025
CVS/PHARMACY # 17668 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92127
CVS/PHARMACY # 17676 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92102
CVS/PHARMACY #09538 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92109
CVS/PHARMACY #09558 ,License Type: Pharmacy (Community),SAN MARCOS, SAN DIEGO, 92078
CVS/PHARMACY #09693 ,License Type: Pharmacy (Community),ESCONDIDO, SAN DIEGO, 92027
CVS/PHARMACY #09783 ,License Type: Pharmacy (Community),NATIONAL CITY, SAN DIEGO, 91950
CVS/PHARMACY #09818 ,License Type: Pharmacy (Community),EL CAJON, SAN DIEGO, 92020
CVS/PHARMACY #09837 ,License Type: Pharmacy (Community),UPLAND, SAN BERNARDINO, 91786
CVS/PHARMACY #09861 ,License Type: Pharmacy (Community),REDLANDS, SAN BERNARDINO, 92374
CVS/PHARMACY #09903 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92101
CVS/PHARMACY #09922 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92110
CVS/PHARMACY #09926 ,License Type: Pharmacy (Community),LA JOLLA, SAN DIEGO, 92037
CVS/PHARMACY #09937 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92109
CVS/PHARMACY #09959 ,License Type: Pharmacy (Community),ESCONDIDO, SAN DIEGO, 92029
CVS/PHARMACY #09961 ,License Type: Pharmacy (Community),SAN MARCOS, SAN DIEGO, 92069
CVS/PHARMACY #09963 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92108
CVS/PHARMACY #3025 ,License Type: Pharmacy (Community),ALPINE, SAN DIEGO, 91901
CVS/PHARMACY #3068 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92126
CVS/PHARMACY #3914 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92127
CVS/PHARMACY #3942 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92122
CVS/PHARMACY #3951 ,License Type: Pharmacy (Community),SOLANA BEACH, SAN DIEGO, 92075
CVS/PHARMACY #4291 ,License Type: Pharmacy (Community),ADELANTO, SAN BERNARDINO, 92301
CVS/PHARMACY #4768 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92101
CVS/PHARMACY #4788 ,License Type: Pharmacy (Community),REDLANDS, SAN BERNARDINO, 92373
CVS/PHARMACY #6332 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92101
CVS/PHARMACY #6368 ,License Type: Pharmacy (Community),VISTA, SAN DIEGO, 92081
CVS/PHARMACY #7127 ,License Type: Pharmacy (Community),SAN MARCOS, SAN DIEGO, 92069
CVS/PHARMACY #7962 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92111
CVS/PHARMACY #8436 ,License Type: Pharmacy (Community),HIGHLAND, SAN BERNARDINO, 92346
CVS/PHARMACY #9135 ,License Type: Pharmacy (Community),ENCINITAS, SAN DIEGO, 92024
CVS/PHARMACY #9154 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92120
CVS/PHARMACY #9162 ,License Type: Pharmacy (Community),LA MESA, SAN DIEGO, 91941
CVS/PHARMACY #9167 ,License Type: Pharmacy (Community),EL CAJON, SAN DIEGO, 92019
CVS/PHARMACY #9169 ,License Type: Pharmacy (Community),LA MESA, SAN DIEGO, 91942
CVS/PHARMACY #9240 ,License Type: Pharmacy (Community),CHULA VISTA, SAN DIEGO, 91910
CVS/PHARMACY #9247 ,License Type: Pharmacy (Community),DEL MAR, SAN DIEGO, 92014
CVS/PHARMACY #9268 ,License Type: Pharmacy (Community),LA JOLLA, SAN DIEGO, 92037
CVS/PHARMACY #9311 ,License Type: Pharmacy (Community),APPLE VALLEY, SAN BERNARDINO, 92307
CVS/PHARMACY #9313 ,License Type: Pharmacy (Community),HIGHLAND, SAN BERNARDINO, 92346
CVS/PHARMACY #9341 ,License Type: Pharmacy (Community),SAN BERNARDINO, SAN BERNARDINO, 92404
CVS/PHARMACY #9816 ,License Type: Pharmacy (Community),CHINO HILLS, SAN BERNARDINO, 91709
DAWN PHARMACY ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92115
DEL'S PHARMACY ,License Type: Pharmacy (Community),RANCHO CUCAMONGA, SAN BERNARDINO, 91730
DEL'S PHARMACY I ,License Type: Pharmacy (Community),RANCHO CUCAMONGA, SAN BERNARDINO, 91730
DELTA DRUGS ,License Type: Pharmacy (Community),SAN BERNARDINO, SAN BERNARDINO, 92411
DIPLOMAT SPECIALTY INFUSION GROUP ,License Type: Pharmacy (Community),CARLSBAD, SAN DIEGO, 92008
DIPLOMAT SPECIALTY PHARMACY ,License Type: Pharmacy (Community),ONTARIO, SAN BERNARDINO, 91761
DK PHARMACY ,License Type: Pharmacy (Community),RANCHO CUCAMONGA, SAN BERNARDINO, 91737
DMK PHARMACY ,License Type: Pharmacy (Community),EL CAJON, SAN DIEGO, 92021
DOCTOR'S CHOICE PHARMACY ,License Type: Pharmacy (Community),UPLAND, SAN BERNARDINO, 91786
DON'S DRUGS ,License Type: Pharmacy (Community),SAN BERNARDINO, SAN BERNARDINO, 92411
EDGEMOOR GERIATRIC HOSPITAL PHARMACY ,License Type: Pharmacy (Government Owned Community),SANTEE, SAN DIEGO, 92071
"EISENHOWER MEDICAL CENTER, YUCCA VALLEY ",License Type: Pharmacy (Community),YUCCA VALLEY, SAN BERNARDINO, 92284
EL NORTE PHARMACY ,License Type: Pharmacy (Community),ESCONDIDO, SAN DIEGO, 92026
ELDAHMY WELLNESS PHARMACY INC ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92113
ESCONDIDO PHARMACY & DME INC ,License Type: Pharmacy (Community),ESCONDIDO, SAN DIEGO, 92025
EXCEL CARE PHARMACY ,License Type: Pharmacy (Community),CHINO, SAN BERNARDINO, 91710
FAIRBANKS PHARMACY ,License Type: Pharmacy (Community),RANCHO SANTA FE, SAN DIEGO, 92067
FAMILY PHARMACY ,License Type: Pharmacy (Community),SAN BERNARDINO, SAN BERNARDINO, 92410
FARMACIA M ,License Type: Pharmacy (Community),FONTANA, SAN BERNARDINO, 92336
FELICITA PHARMACY ,License Type: Pharmacy (Community),ESCONDIDO, SAN DIEGO, 92025
FINLEY'S REXALL DRUG ,License Type: Pharmacy (Community),FONTANA, SAN BERNARDINO, 92335
FROST MEDICAL PHARMACY ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92123
