name,license_type,county,city,zip
AP8 PHARMACY ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92704
APOTHERA ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92618
APPLE PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92840
APPLE PHARMACY III ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92804
ARC CARES PHARMACY ,License Type: Pharmacy (Community),BREA, ORANGE, 92821
AUDREY PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
AUDREY PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
AUM PHARMACY ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92801
AUSTIN DRUGS ,License Type: Pharmacy (Community),BUENA PARK, ORANGE, 90620
B & B VILLAGE CENTER PHARMACY ,License Type: Pharmacy (Community),YORBA LINDA, ORANGE, 92886
BALBOA PHARMACY ,License Type: Pharmacy (Community),NEWPORT BEACH, ORANGE, 92661
BAYTREE PHARMACY LLC ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92614
BE WELL PHARMACY ,License Type: Pharmacy (Community),FULLERTON, ORANGE, 92832
BEACH MEDICAL PHARMACY ,License Type: Pharmacy (Community),BUENA PARK, ORANGE, 90621
BEACH PROFESSIONAL PHARMACY ,License Type: Pharmacy (Community),HUNTINGTON BEACH, ORANGE, 92647
BELLA TERRA PHARMACY ,License Type: Pharmacy (Community),HUNTINGTON BEACH, ORANGE, 92647
BEN'S VAL MESA PHARMACY ,License Type: Pharmacy (Community),FULLERTON, ORANGE, 92835
BEST CHOICE PHARMACY ,License Type: Pharmacy (Community),NEWPORT BEACH, ORANGE, 92660
BESTCARE PHARMACY ,License Type: Pharmacy (Community),BUENA PARK, ORANGE, 90620
BI RITE QUALITY PHARMACIES ,License Type: Pharmacy (Community),LA HABRA, ORANGE, 90631
BINH-DAN PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
BIOLOGIC INFUSION PHARMACY ,License Type: Pharmacy (Community),CYPRESS, ORANGE, 90630
BIOSCRIP INFUSION SERVICES INC ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92618
BLESSING PHARMACY INC ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
BLUE COAST PHARMACY AND COMPOUNDING CENTER ,License Type: Pharmacy (Community),HUNTINGTON BEACH, ORANGE, 92648
BOLSA EXPRESS PHARMACY INC ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
BOLSA GRANDE PHARMACY ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92704
BOLSA MEDICAL ARTS PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
BRISTOL MEDICAL PHARMACY ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92704
BRISTOL PHARMACY ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92604
BT PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
BUSHARD'S PHARMACY ,License Type: Pharmacy (Community),LAGUNA BEACH, ORANGE, 92651
BYRAM HEALTHCARE CENTERS INC ,License Type: Pharmacy (Community),HUNTINGTON BEACH, ORANGE, 92647
C & A PHARMACEUTICAL ENTERPRISES-CA LLC ,License Type: Pharmacy (Community),LAGUNA BEACH, ORANGE, 92651
C & H PHARMACY ,License Type: Pharmacy (Community),LOS ALAMITOS, ORANGE, 90720
C3 HEALTHCARERX ,License Type: Pharmacy (Community),MISSION VIEJO, ORANGE, 92692
CAL MED PHARMACY ,License Type: Pharmacy (Community),MISSION VIEJO, ORANGE, 92692
CAL PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92844
CALI CARE PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92843
CALIFORNIA PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
"CARDINAL HEALTH 414,LLC ",License Type: Pharmacy (Community),PLACENTIA, ORANGE, 92870
CARDINAL HEALTH PHARMACY SERVICES LLC ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92618
CARE ONE PHARMACY ,License Type: Pharmacy (Community),FOUNTAIN VALLEY, ORANGE, 92708
CAREMAX PHARMACY ,License Type: Pharmacy (Community),BUENA PARK, ORANGE, 90621
CAREMAX PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92843
CAREMEDS PHARMACY INC. ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92614
CATALINA PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92844
CATINAT PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
CATINAT PHARMACY ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92704
CCS MEDICAL ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92807
CDM DRUGS ,License Type: Pharmacy (Community),CORONA DEL MAR, ORANGE, 92625
CENTER FOR COMPREHENSIVE CARE & DIAGNOSIS OF INHERITED BLOOD DISO ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92705
CENTRAL DRUGS ,License Type: Pharmacy (Community),FULLERTON, ORANGE, 92835
CHAMPION RX ,License Type: Pharmacy (Community),HUNTINGTON BEACH, ORANGE, 92649
CHAPMAN MEDICAL OUTPATIENT PHARMACY ,License Type: Pharmacy (Community),ORANGE, ORANGE, 92867
CHILDREN'S HOSP OF ORANGE CO CLINIC PHY ,License Type: Pharmacy (Community),ORANGE, ORANGE, 92868
COAST HILLS PHARMACY ,License Type: Pharmacy (Community),NEWPORT BEACH, ORANGE, 92660
COASTLINE CARE PHARMACY ,License Type: Pharmacy (Community),FOUNTAIN VALLEY, ORANGE, 92708
"COMMUNITY, A WALGREENS PHARMACY #03815 ",License Type: Pharmacy (Community),ORANGE, ORANGE, 92868
COMPOUND CENTRAL PHARMACY ,License Type: Pharmacy (Community),LOS ALAMITOS, ORANGE, 90720
CORAM CVS/SPECIALTY INFUSION SERVICES ,License Type: Pharmacy (Community),TUSTIN, ORANGE, 92780
COSTCO PHARMACY #1001 ,License Type: Pharmacy (Community),TUSTIN, ORANGE, 92782
COSTCO PHARMACY #1110 ,License Type: Pharmacy (Community),HUNTINGTON BEACH, ORANGE, 92647
COSTCO PHARMACY #122 ,License Type: Pharmacy (Community),TUSTIN, ORANGE, 92782
COSTCO PHARMACY #126 ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92843
COSTCO PHARMACY #28 ,License Type: Pharmacy (Community),LAGUNA NIGUEL, ORANGE, 92677
COSTCO PHARMACY #418 ,License Type: Pharmacy (Community),FULLERTON, ORANGE, 92832
COSTCO PHARMACY #429 ,License Type: Pharmacy (Community),SAN JUAN CAPISTRANO, ORANGE, 92675
COSTCO PHARMACY #445 ,License Type: Pharmacy (Community),YORBA LINDA, ORANGE, 92887
COSTCO PHARMACY #454 ,License Type: Pharmacy (Community),Probation, ORANGE, 92618
COSTCO PHARMACY #748 ,License Type: Pharmacy (Community),CYPRESS, ORANGE, 90720
COSTCO PHARMACY #777 ,License Type: Pharmacy (Community),LA HABRA, ORANGE, 90631
COSTCO PHARMACY 411 ,License Type: Pharmacy (Community),FOUNTAIN VALLEY, ORANGE, 92708
COSTCO PHARMACY NO 690 ,License Type: Pharmacy (Community),LAGUNA NIGUEL, ORANGE, 92677
CREATIVE COMPOUNDING PHARMACY INC ,License Type: Pharmacy (Community),COSTA MESA, ORANGE, 92626
CRESCENT PHARM D ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92614
CSUF STUDENT HEALTH & COUNSELING CENTER ,License Type: Pharmacy (Government Owned Community),FULLERTON, ORANGE, 92834
CURA PHARMACY ,License Type: Pharmacy (Community),TUSTIN, ORANGE, 92780
CUSTOM HEALTHCARE COMPOUNDING PHARMACY ,License Type: Pharmacy (Community),LAGUNA HILLS, ORANGE, 92653
CVS PHARMACY #10225 ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92802
CVS PHARMACY #1764 ,License Type: Pharmacy (Community),MISSION VIEJO, ORANGE, 92691
CVS PHARMACY #387 ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92620
CVS PHARMACY #4043 ,License Type: Pharmacy (Community),LOS ALAMITOS, ORANGE, 90720
CVS PHARMACY #5803 ,License Type: Pharmacy (Community),PLACENTIA, ORANGE, 92870
CVS PHARMACY #6710 ,License Type: Pharmacy (Community),LADERA RANCH, ORANGE, 92694
CVS PHARMACY #6782 ,License Type: Pharmacy (Community),HUNTINGTON BEACH, ORANGE, 92648
CVS PHARMACY #7079 ,License Type: Pharmacy (Community),FULLERTON, ORANGE, 92835
CVS PHARMACY #8830 ,License Type: Pharmacy (Community),COSTA MESA, ORANGE, 92626
CVS PHARMACY #8834 ,License Type: Pharmacy (Community),FOOTHILL RANCH, ORANGE, 92610
CVS PHARMACY #8843 ,License Type: Pharmacy (Community),SEAL BEACH, ORANGE, 90740
CVS PHARMACY #8846 ,License Type: Pharmacy (Community),TRABUCO CANYON, ORANGE, 92679
CVS PHARMACY #8849 ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92706
CVS PHARMACY #8850 ,License Type: Pharmacy (Community),HUNTINGTON BEACH, ORANGE, 92648
CVS PHARMACY #8851 ,License Type: Pharmacy (Community),LAKE FOREST, ORANGE, 92630
CVS PHARMACY #8854 ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92705
CVS PHARMACY #8855 ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92703
CVS PHARMACY #8861 ,License Type: Pharmacy (Community),BUENA PARK, ORANGE, 90620
CVS PHARMACY #8862 ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92840
CVS PHARMACY #8863 ,License Type: Pharmacy (Community),LAGUNA NIGUEL, ORANGE, 92677
CVS PHARMACY #8869 ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92603
CVS PHARMACY #8872 ,License Type: Pharmacy (Community),ALISO VIEJO, ORANGE, 92656
CVS PHARMACY #8874 ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92802
CVS PHARMACY #8877 ,License Type: Pharmacy (Community),TUSTIN, ORANGE, 92780
CVS PHARMACY #8880 ,License Type: Pharmacy (Community),LAGUNA NIGUEL, ORANGE, 92677
CVS PHARMACY #8881 ,License Type: Pharmacy (Community),NEWPORT BEACH, ORANGE, 92660
CVS PHARMACY #8882 ,License Type: Pharmacy (Community),SAN CLEMENTE, ORANGE, 92673
CVS PHARMACY #8883 ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92704
CVS PHARMACY #8884 ,License Type: Pharmacy (Community),LAKE FOREST, ORANGE, 92630
CVS PHARMACY #8885 ,License Type: Pharmacy (Community),HUNTINGTON BEACH, ORANGE, 92647
CVS PHARMACY #8890 ,License Type: Pharmacy (Community),TUSTIN, ORANGE, 92780
CVS PHARMACY #8891 ,License Type: Pharmacy (Community),MISSION VIEJO, ORANGE, 92691
CVS PHARMACY #8893 ,License Type: Pharmacy (Community),SAN CLEMENTE, ORANGE, 92672
CVS PHARMACY #9119 ,License Type: Pharmacy (Community),ORANGE, ORANGE, 92869
CVS PHARMACY #9481 ,License Type: Pharmacy (Community),STANTON, ORANGE, 90680
CVS PHARMACY #9483 ,License Type: Pharmacy (Community),HUNTINGTON BEACH, ORANGE, 92646
CVS PHARMACY #9484 ,License Type: Pharmacy (Community),COSTA MESA, ORANGE, 92626
CVS PHARMACY #9485 ,License Type: Pharmacy (Community),MISSION VIEJO, ORANGE, 92692
CVS PHARMACY #9486 ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92604
CVS PHARMACY #9491 ,License Type: Pharmacy (Community),HUNTINGTON BEACH, ORANGE, 92649
CVS PHARMACY #9492 ,License Type: Pharmacy (Community),YORBA LINDA, ORANGE, 92886
CVS PHARMACY #9497 ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92604
CVS PHARMACY #9508 ,License Type: Pharmacy (Community),COSTA MESA, ORANGE, 92627
CVS PHARMACY #9510 ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
CVS PHARMACY #9540 ,License Type: Pharmacy (Community),NEWPORT BEACH, ORANGE, 92660
CVS PHARMACY #9551 ,License Type: Pharmacy (Community),SEAL BEACH, ORANGE, 90740
CVS PHARMACY #9552 ,License Type: Pharmacy (Community),LADERA RANCH, ORANGE, 92694
CVS PHARMACY #9555 ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92804
CVS PHARMACY #9560 ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92804
CVS PHARMACY #9561 ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92614
CVS PHARMACY #9562 ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92602
CVS PHARMACY #9569 ,License Type: Pharmacy (Community),FOUNTAIN VALLEY, ORANGE, 92708
CVS PHARMACY #9575 ,License Type: Pharmacy (Community),CYPRESS, ORANGE, 90630
CVS PHARMACY #9577 ,License Type: Pharmacy (Community),HUNTINGTON BEACH, ORANGE, 92647
CVS PHARMACY #9581 ,License Type: Pharmacy (Community),DANA POINT, ORANGE, 92629
CVS PHARMACY #9583 ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92701
CVS PHARMACY #9587 ,License Type: Pharmacy (Community),LAKE FOREST, ORANGE, 92630
CVS PHARMACY #9591 ,License Type: Pharmacy (Community),LAGUNA BEACH, ORANGE, 92651
CVS PHARMACY #9598 ,License Type: Pharmacy (Community),FULLERTON, ORANGE, 92831
CVS PHARMACY #9725 ,License Type: Pharmacy (Community),ORANGE, ORANGE, 92868
CVS PHARMACY #9744 ,License Type: Pharmacy (Community),ORANGE, ORANGE, 92867
CVS PHARMACY #9747 ,License Type: Pharmacy (Community),PLACENTIA, ORANGE, 92870
CVS PHARMACY #9749 ,License Type: Pharmacy (Community),ORANGE, ORANGE, 92865
CVS PHARMACY #9753 ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92807
CVS PHARMACY #9754 ,License Type: Pharmacy (Community),FULLERTON, ORANGE, 92833
CVS PHARMACY #9759 ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92805
CVS PHARMACY #9760 ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92807
CVS PHARMACY #9762 ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92806
CVS PHARMACY #9765 ,License Type: Pharmacy (Community),FULLERTON, ORANGE, 92832
CVS PHARMACY #9774 ,License Type: Pharmacy (Community),ANAHEIM HILLS, ORANGE, 92808
CVS PHARMACY #9777 ,License Type: Pharmacy (Community),PLACENTIA, ORANGE, 92870
CVS PHARMACY NO 5837 ,License Type: Pharmacy (Community),Public Reprimand, ORANGE, 90620
CVS PHARMACY NO 5841 ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92707
CVS PHARMACY NO 6768 ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92604
CVS PHARMACY NO 6770 ,License Type: Pharmacy (Community),RANCHO SANTA MARGARITA, ORANGE, 92688
CVS/PHARMACY # 16045 ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92840
CVS/PHARMACY # 16046 ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92843
CVS/PHARMACY # 16063 ,License Type: Pharmacy (Community),CYPRESS, ORANGE, 90630
CVS/PHARMACY # 16064 ,License Type: Pharmacy (Community),ORANGE, ORANGE, 92865
CVS/PHARMACY # 16071 ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
CVS/PHARMACY # 16072 ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92704
CVS/PHARMACY # 16077 ,License Type: Pharmacy (Community),ALISO VIEJO, ORANGE, 92656
CVS/PHARMACY # 16090 ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92705
CVS/PHARMACY # 16098 ,License Type: Pharmacy (Community),MISSION VIEJO, ORANGE, 92691
CVS/PHARMACY # 16120 ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92606
CVS/PHARMACY # 16201 ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92808
CVS/PHARMACY # 16339 ,License Type: Pharmacy (Community),FOOTHILL RANCH, ORANGE, 92610
CVS/PHARMACY # 16340 ,License Type: Pharmacy (Community),RANCHO SANTA MARGARITA, ORANGE, 92688
CVS/PHARMACY # 16591 ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92602
CVS/PHARMACY # 16669 ,License Type: Pharmacy (Community),SEAL BEACH, ORANGE, 90740
CVS/PHARMACY # 16722 ,License Type: Pharmacy (Community),FULLERTON, ORANGE, 92833
CVS/PHARMACY # 16756 ,License Type: Pharmacy (Community),FULLERTON, ORANGE, 92832
CVS/PHARMACY # 17141 ,License Type: Pharmacy (Community),HUNTINGTON BEACH, ORANGE, 92646
CVS/PHARMACY # 17170 ,License Type: Pharmacy (Community),BUENA PARK, ORANGE, 90621
CVS/PHARMACY # 17211 ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92618
CVS/PHARMACY # 17233 ,License Type: Pharmacy (Community),TUSTIN, ORANGE, 92782
CVS/PHARMACY # 17243 ,License Type: Pharmacy (Community),MISSION VIEJO, ORANGE, 92691
CVS/PHARMACY # 17372 ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
CVS/PHARMACY # 17460 ,License Type: Pharmacy (Community),LA HABRA, ORANGE, 90631
CVS/PHARMACY # 17478 ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92802
CVS/PHARMACY # 17530 ,License Type: Pharmacy (Community),BREA, ORANGE, 92821
CVS/PHARMACY # 17610 ,License Type: Pharmacy (Community),SAN CLEMENTE, ORANGE, 92673
CVS/PHARMACY #09373 ,License Type: Pharmacy (Community),HUNTINGTON BEACH, ORANGE, 92649
CVS/PHARMACY #09541 ,License Type: Pharmacy (Community),LAKE FOREST, ORANGE, 92630
CVS/PHARMACY #09831 ,License Type: Pharmacy (Community),LA HABRA, ORANGE, 90631
CVS/PHARMACY #09863 ,License Type: Pharmacy (Community),COSTA MESA, ORANGE, 92627
CVS/PHARMACY #09905 ,License Type: Pharmacy (Community),YORBA LINDA, ORANGE, 92886
CVS/PHARMACY #09912 ,License Type: Pharmacy (Community),DANA POINT, ORANGE, 92629
CVS/PHARMACY #09924 ,License Type: Pharmacy (Community),LAGUNA NIGUEL, ORANGE, 92677
CVS/PHARMACY #10223 ,License Type: Pharmacy (Community),LA HABRA, ORANGE, 90631
CVS/PHARMACY #16637 ,License Type: Pharmacy (Community),COSTA MESA, ORANGE, 92626
CVS/PHARMACY #3057 ,License Type: Pharmacy (Community),LAGUNA NIGUEL, ORANGE, 92677
CVS/PHARMACY #7088 ,License Type: Pharmacy (Community),HUNTINGTON BEACH, ORANGE, 92647
CVS/PHARMACY #819 ,License Type: Pharmacy (Community),HUNTINGTON BEACH, ORANGE, 92648
CVS/PHARMACY #9242 ,License Type: Pharmacy (Community),MISSION VIEJO, ORANGE, 92691
CVS/PHARMACY #9246 ,License Type: Pharmacy (Community),LAGUNA WOODS, ORANGE, 92637
D S K PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92844
DANHS PHCY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
DIACARE PHARMACY ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92705
DIRECT PHARMACY CARE ,License Type: Pharmacy (Community),BUENA PARK, ORANGE, 90621
DIRECT RX PHARMACY INC ,License Type: Pharmacy (Community),LAGUNA HILLS, ORANGE, 92653
DIRECTCARE PHARMACY ,License Type: Pharmacy (Community),FOUNTAIN VALLEY, ORANGE, 92708
DONGNAI PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
DRAGON PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
DRUG DEPOT PHARMACY INC ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92705
E-Z CARE PHARMACY ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92703
EARTH VILLAGE PHARMACY ,License Type: Pharmacy (Community),BUENA PARK, ORANGE, 90621
EASTGATE PHARMACY ,License Type: Pharmacy (Community),CYPRESS, ORANGE, 90630
EL TORO PHARMACY ,License Type: Pharmacy (Community),LAGUNA HILLS, ORANGE, 92653
ELONG PHARMACY ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92618
EXCELCARE PHARMACY ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92706
FAMILY CARE INVESTMENTS LLC DBA VALUE PHARMACY ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92614
FAMILY CARE PHARMACY ,License Type: Pharmacy (Community),BUENA PARK, ORANGE, 90621
FAMILY PHARMACY ,License Type: Pharmacy (Community),SAN JUAN CAPISTRANO, ORANGE, 92675
FARMACIA BRISTOL ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92707
FARMACIA FAMILIAR ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92704
FIRST STREET MEDICAL PLAZA PHARMACY ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92705
FISHER'S BREA PHARMACY ,License Type: Pharmacy (Community),BREA, ORANGE, 92821
FOUNTAIN VALLEY CENTRAL PHARMACY ,License Type: Pharmacy (Community),FOUNTAIN VALLEY, ORANGE, 92708
FOUNTAIN VALLEY MEDICAL CENTER PHARMACY ,License Type: Pharmacy (Community),FOUNTAIN VALLEY, ORANGE, 92708
FRIENDLY CARE PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
FULLERTON MEDICAL PHARMACY ,License Type: Pharmacy (Community),FULLERTON, ORANGE, 92833
GARDEN GROVE COMMUNITY PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92843
GARDEN PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92841
GARFIELD BEACH CVS LLC D/B/A CVS/PHARMACY # 17707 ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92612
GARFIELD BEACH CVS LLC D/B/A CVS/PHARMACY # 17716 ,License Type: Pharmacy (Community),ORANGE, ORANGE, 92869
GARFIELD BEACH CVS LLC D/B/A CVS/PHARMACY # 17730 ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92806
GARFIELD BEACH CVS LLC DBA CVS PHARMACY #10806 ,License Type: Pharmacy (Community),TUSTIN, ORANGE, 92782
GARFIELD BEACH CVS LLC DBA CVS PHARMACY #11111 ,License Type: Pharmacy (Community),BREA, ORANGE, 92821
GARFIELD BEACH CVS LLC DBA CVS PHARMACY #17746 ,License Type: Pharmacy (Community),MISSION VIEJO, ORANGE, 92691
GE HEALTHCARE ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92805
GENOA HEALTHCARE LLC ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92701
GILBERT DRUGS ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92844
GLOBAL EXPRESS PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92843
GLOBAL RX PHARMACY & COMPOUNDING ,License Type: Pharmacy (Community),Public Reprimand, ORANGE, 92604
GOLDEN PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
GOOD HEALTH PHARMACY ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92614
GRACE COMMUNITY PHARMACY ,License Type: Pharmacy (Community),LA PALMA, ORANGE, 90623
GROVE HARBOR MEDICAL CENTER PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92843
GUARDIAN PHARMACY OF ANAHEIM ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92801
GUIDED ALLIANCE PHARMACY INC ,License Type: Pharmacy (Community),ALISO VIEJO, ORANGE, 92656
HAPPY CARE PHARMACY ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92704
HARBOR HEALTHY LIVING PHARMACY ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92704
HARBOR PHARMACY ,License Type: Pharmacy (Community),FOUNTAIN VALLEY, ORANGE, 92708
HARBOR PHARMACY 3 ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92843
HAU GIANG PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92843
HEALING PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
HEALTH FIRST PHARMACY ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92804
HEALTH TREE PHARMACY ,License Type: Pharmacy (Community),LA HABRA, ORANGE, 90631
HEALTHCARE PHARMACY ,License Type: Pharmacy (Community),TUSTIN, ORANGE, 92780
HEALTHY LIVING PHARMACY ,License Type: Pharmacy (Community),YORBA LINDA, ORANGE, 92887
HEMOPHILIAC SUPPORT SYSTEMS ,License Type: Pharmacy (Community),CYPRESS, ORANGE, 90630
HILL PHARMACY ,License Type: Pharmacy (Community),NEWPORT BEACH, ORANGE, 92660
HOAG INFUSION CENTER PHARMACY ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92618
